FkIdObec,FkIdVekKat,FkIdSkRok,PocetOsob
54,1,26,337
54,1,25,323
54,1,24,328
54,1,23,340
54,1,22,333
54,1,21,337
54,1,20,350
54,1,19,345
54,1,18,360
54,1,17,360
54,1,16,374
54,1,15,384
54,1,14,395
54,1,13,420
54,1,12,432
54,1,11,454
54,1,10,503
54,1,9,516
54,1,8,548
54,1,7,584
54,1,6,591
54,1,5,588
54,1,4,589
54,1,3,577
54,1,2,573
54,1,1,544
55,1,28,97
55,1,27,99
55,1,26,96
55,1,25,90
55,1,24,89
55,1,23,94
55,1,22,95
55,1,21,90
55,1,20,90
55,1,19,85
55,1,18,84
55,1,17,77
55,1,16,79
55,1,15,81
55,1,14,77
55,1,13,76
55,1,12,81
55,1,11,73
55,1,10,79
55,1,9,76
55,1,8,79
55,1,7,85
55,1,6,93
55,1,5,91
55,1,4,96
55,1,3,87
55,1,2,95
55,1,1,87
56,1,28,127
56,1,27,138
56,1,26,141
56,1,25,136
56,1,24,134
56,1,23,137
56,1,22,134
56,1,21,137
56,1,20,137
56,1,19,135
56,1,18,130
56,1,17,127
56,1,16,123
56,1,15,143
56,1,14,145
56,1,13,150
56,1,12,152
56,1,11,160
56,1,10,170
56,1,9,175
56,1,8,177
56,1,7,187
56,1,6,174
56,1,5,167
56,1,4,175
56,1,3,174
56,1,2,180
56,1,1,193
57,1,28,178
57,1,27,177
57,1,26,195
57,1,25,200
57,1,24,197
57,1,23,214
57,1,22,221
57,1,21,212
57,1,20,208
57,1,19,208
57,1,18,207
57,1,17,190
57,1,16,195
57,1,15,188
57,1,14,189
57,1,13,198
57,1,12,203
57,1,11,210
57,1,10,213
57,1,9,216
57,1,8,228
57,1,7,227
57,1,6,230
57,1,5,200
57,1,4,208
57,1,3,195
57,1,2,197
57,1,1,211
58,1,28,76
58,1,27,78
58,1,26,89
58,1,25,86
58,1,24,95
58,1,23,87
58,1,22,90
58,1,21,88
58,1,20,89
58,1,19,80
58,1,18,68
58,1,17,65
58,1,16,73
58,1,15,73
58,1,14,75
58,1,13,78
58,1,12,83
58,1,11,83
58,1,10,82
58,1,9,83
58,1,8,92
58,1,7,97
58,1,6,93
58,1,5,90
58,1,4,91
58,1,3,88
58,1,2,88
58,1,1,84
59,1,28,664
59,1,27,656
59,1,26,661
59,1,25,674
59,1,24,690
59,1,23,707
59,1,22,725
59,1,21,732
59,1,20,722
59,1,19,752
59,1,18,785
59,1,17,813
59,1,16,836
59,1,15,879
59,1,14,910
59,1,13,952
59,1,12,1009
59,1,11,1093
59,1,10,1150
59,1,9,1194
59,1,8,1223
59,1,7,1262
59,1,6,1289
59,1,5,1327
59,1,4,1331
59,1,3,1302
59,1,2,1293
59,1,1,1227
60,1,28,858
60,1,27,858
60,1,26,848
60,1,25,891
60,1,24,875
60,1,23,871
60,1,22,860
60,1,21,865
60,1,20,862
60,1,19,859
60,1,18,872
60,1,17,894
60,1,16,909
60,1,15,953
60,1,14,967
60,1,13,989
60,1,12,1035
60,1,11,1065
60,1,10,1090
60,1,9,1172
60,1,8,1212
60,1,7,1264
60,1,6,1332
60,1,5,1414
60,1,4,1505
60,1,3,1589
60,1,2,1652
60,1,1,1733
61,1,28,147
61,1,27,156
61,1,26,150
61,1,25,161
61,1,24,162
61,1,23,165
61,1,22,153
61,1,21,150
61,1,20,147
61,1,19,153
61,1,18,157
61,1,17,163
61,1,16,157
61,1,15,177
61,1,14,179
61,1,13,196
61,1,12,194
61,1,11,195
61,1,10,202
61,1,9,201
61,1,8,202
61,1,7,205
61,1,6,205
61,1,5,211
61,1,4,201
61,1,3,202
61,1,2,198
61,1,1,189
62,1,28,133
62,1,27,127
62,1,26,125
62,1,25,123
62,1,24,119
62,1,23,113
62,1,22,116
62,1,21,110
62,1,20,111
62,1,19,102
62,1,18,103
62,1,17,97
62,1,16,104
62,1,15,101
62,1,14,108
62,1,13,104
62,1,12,108
62,1,11,106
62,1,10,108
62,1,9,108
62,1,8,114
62,1,7,111
62,1,6,115
62,1,5,112
62,1,4,115
62,1,3,111
62,1,2,111
62,1,1,111
63,1,28,206
63,1,27,208
63,1,26,214
63,1,25,199
63,1,24,205
